t psi theta phi
1.830915 -1.372957 1.332849 26.112068
1.840920 -1.385261 1.331765 26.250187
1.850925 -1.397584 1.330682 26.388291
1.860930 -1.409926 1.329599 26.526380
1.870935 -1.422285 1.328516 26.664455
1.880940 -1.434663 1.327434 26.802515
1.890945 -1.447059 1.326353 26.940562
1.900950 -1.459473 1.325272 27.078594
1.910955 -1.471903 1.324191 27.216612
1.920960 -1.484352 1.323111 27.354618
1.930965 -1.496817 1.322031 27.492609
1.940970 -1.509299 1.320952 27.630588
1.950975 -1.521798 1.319874 27.768554
1.960980 -1.534313 1.318796 27.906508
1.970985 -1.546845 1.317719 28.044449
1.980990 -1.559393 1.316643 28.182377
1.990995 -1.571956 1.315568 28.320294
2.001001 -1.584536 1.314493 28.458199
2.011006 -1.597131 1.313419 28.596092
2.021011 -1.609741 1.312346 28.733974
2.031016 -1.622367 1.311273 28.871844
2.041021 -1.635007 1.310202 29.009704
2.051026 -1.647663 1.309131 29.147552
2.061031 -1.660333 1.308062 29.285390
2.071036 -1.673018 1.306993 29.423217
2.081041 -1.685718 1.305926 29.561034
2.091046 -1.698431 1.304859 29.698841
2.101051 -1.711159 1.303794 29.836637
2.111056 -1.723901 1.302729 29.974424
2.121061 -1.736656 1.301666 30.112201
2.131066 -1.749426 1.300604 30.249968
2.141071 -1.762208 1.299543 30.387726
2.151076 -1.775004 1.298483 30.525475
2.161081 -1.787814 1.297424 30.663214
2.171086 -1.800636 1.296367 30.800945
2.181091 -1.813472 1.295311 30.938666
2.191096 -1.826320 1.294256 31.076379
2.201101 -1.839181 1.293203 31.214084
2.211106 -1.852055 1.292151 31.351780
2.221111 -1.864941 1.291100 31.489468
2.231116 -1.877840 1.290051 31.627147
2.241121 -1.890751 1.289004 31.764819
2.251126 -1.903673 1.287958 31.902483
2.261131 -1.916608 1.286913 32.040139
2.271136 -1.929555 1.285870 32.177787
2.281141 -1.942513 1.284828 32.315428
2.291146 -1.955483 1.283788 32.453062
2.301151 -1.968465 1.282750 32.590688
2.311156 -1.981458 1.281714 32.728308
2.321161 -1.994462 1.280679 32.865920
2.331166 -2.007478 1.279646 33.003526
2.341171 -2.020504 1.278614 33.141124
2.351176 -2.033542 1.277585 33.278716
2.361181 -2.046590 1.276557 33.416302
2.371186 -2.059649 1.275531 33.553881
2.381191 -2.072719 1.274507 33.691454
2.391196 -2.085799 1.273485 33.829020
2.401201 -2.098890 1.272465 33.966581
2.411206 -2.111992 1.271447 34.104135
2.421211 -2.125103 1.270430 34.241684
2.431216 -2.138225 1.269416 34.379226
2.441221 -2.151357 1.268404 34.516763
2.451226 -2.164499 1.267394 34.654295
2.461231 -2.177650 1.266386 34.791821
2.471236 -2.190812 1.265381 34.929342
2.481241 -2.203983 1.264377 35.066857
2.491246 -2.217164 1.263376 35.204367
2.501251 -2.230355 1.262377 35.341872
2.511256 -2.243555 1.261381 35.479372
2.521261 -2.256764 1.260386 35.616867
2.531266 -2.269983 1.259394 35.754357
2.541271 -2.283211 1.258405 35.891842
2.551276 -2.296448 1.257417 36.029323
2.561281 -2.309694 1.256433 36.166799
2.571286 -2.322949 1.255450 36.304270
2.581291 -2.336213 1.254471 36.441737
2.591296 -2.349486 1.253493 36.579200
2.601301 -2.362768 1.252519 36.716659
2.611306 -2.376058 1.251547 36.854113
2.621311 -2.389357 1.250577 36.991563
2.631316 -2.402664 1.249611 37.129009
2.641321 -2.415980 1.248647 37.266451
2.651326 -2.429305 1.247685 37.403889
2.661331 -2.442637 1.246727 37.541324
2.671336 -2.455978 1.245771 37.678755
2.681341 -2.469327 1.244818 37.816181
2.691346 -2.482684 1.243868 37.953605
2.701351 -2.496049 1.242921 38.091025
2.711356 -2.509423 1.241977 38.228441
2.721361 -2.522804 1.241036 38.365854
2.731366 -2.536193 1.240098 38.503264
2.741371 -2.549589 1.239163 38.640670
2.751376 -2.562994 1.238230 38.778073
2.761381 -2.576406 1.237301 38.915473
2.771386 -2.589825 1.236376 39.052870
2.781391 -2.603252 1.235453 39.190264
2.791396 -2.616687 1.234533 39.327654
2.801401 -2.630129 1.233617 39.465042
2.811406 -2.643578 1.232704 39.602428
2.821411 -2.657035 1.231794 39.739810
