t psi theta phi
0.404040 -0.082110 0.988149 10.031472
0.406041 -0.083137 0.987738 10.080619
0.408041 -0.084171 0.987328 10.129761
0.410041 -0.085211 0.986919 10.178898
0.412041 -0.086257 0.986511 10.228031
0.414041 -0.087309 0.986104 10.277158
0.416042 -0.088368 0.985698 10.326281
0.418042 -0.089432 0.985292 10.375399
0.420042 -0.090502 0.984888 10.424512
0.422042 -0.091579 0.984485 10.473620
0.424042 -0.092661 0.984083 10.522724
0.426043 -0.093749 0.983682 10.571823
0.428043 -0.094843 0.983283 10.620917
0.430043 -0.095943 0.982884 10.670006
0.432043 -0.097049 0.982487 10.719091
0.434043 -0.098161 0.982091 10.768171
0.436044 -0.099279 0.981696 10.817247
0.438044 -0.100402 0.981302 10.866318
0.440044 -0.101531 0.980910 10.915385
0.442044 -0.102666 0.980519 10.964447
0.444044 -0.103806 0.980129 11.013505
0.446045 -0.104952 0.979741 11.062558
0.448045 -0.106104 0.979354 11.111607
0.450045 -0.107261 0.978969 11.160651
0.452045 -0.108424 0.978585 11.209691
0.454045 -0.109593 0.978203 11.258727
0.456046 -0.110767 0.977822 11.307758
0.458046 -0.111946 0.977443 11.356785
0.460046 -0.113131 0.977065 11.405808
0.462046 -0.114321 0.976689 11.454827
0.464046 -0.115517 0.976314 11.503841
0.466047 -0.116718 0.975942 11.552851
0.468047 -0.117924 0.975570 11.601857
0.470047 -0.119136 0.975201 11.650859
0.472047 -0.120353 0.974833 11.699857
0.474047 -0.121575 0.974467 11.748851
0.476048 -0.122802 0.974103 11.797840
0.478048 -0.124034 0.973741 11.846826
0.480048 -0.125272 0.973380 11.895808
0.482048 -0.126514 0.973021 11.944786
0.484048 -0.127762 0.972664 11.993759
0.486049 -0.129015 0.972310 12.042729
0.488049 -0.130272 0.971956 12.091695
0.490049 -0.131535 0.971605 12.140658
0.492049 -0.132802 0.971256 12.189616
0.494049 -0.134075 0.970909 12.238571
0.496050 -0.135352 0.970564 12.287522
0.498050 -0.136634 0.970221 12.336469
0.500050 -0.137921 0.969880 12.385412
0.502050 -0.139212 0.969541 12.434352
0.504050 -0.140509 0.969204 12.483288
0.506051 -0.141810 0.968869 12.532221
0.508051 -0.143115 0.968536 12.581150
0.510051 -0.144425 0.968206 12.630076
0.512051 -0.145740 0.967877 12.678998
0.514051 -0.147059 0.967551 12.727916
0.516052 -0.148383 0.967228 12.776831
0.518052 -0.149711 0.966906 12.825743
0.520052 -0.151043 0.966587 12.874651
0.522052 -0.152380 0.966270 12.923556
0.524052 -0.153722 0.965955 12.972458
0.526053 -0.155067 0.965642 13.021356
0.528053 -0.156417 0.965332 13.070251
0.530053 -0.157771 0.965025 13.119143
0.532053 -0.159129 0.964719 13.168031
0.534053 -0.160492 0.964417 13.216917
0.536054 -0.161858 0.964116 13.265799
0.538054 -0.163228 0.963818 13.314678
0.540054 -0.164603 0.963523 13.363554
0.542054 -0.165982 0.963230 13.412427
0.544054 -0.167364 0.962939 13.461298
0.546055 -0.168750 0.962651 13.510165
0.548055 -0.170141 0.962366 13.559029
0.550055 -0.171535 0.962083 13.607890
0.552055 -0.172933 0.961802 13.656748
0.554055 -0.174334 0.961525 13.705604
0.556056 -0.175740 0.961250 13.754456
0.558056 -0.177149 0.960977 13.803306
0.560056 -0.178562 0.960707 13.852153
0.562056 -0.179978 0.960440 13.900997
0.564056 -0.181398 0.960176 13.949839
0.566057 -0.182821 0.959914 13.998678
0.568057 -0.184248 0.959655 14.047514
0.570057 -0.185678 0.959399 14.096348
0.572057 -0.187112 0.959145 14.145179
0.574057 -0.188549 0.958894 14.194008
0.576058 -0.189990 0.958646 14.242834
0.578058 -0.191433 0.958401 14.291657
0.580058 -0.192880 0.958159 14.340478
0.582058 -0.194330 0.957919 14.389297
0.584058 -0.195784 0.957682 14.438114
0.586059 -0.197240 0.957448 14.486928
0.588059 -0.198699 0.957217 14.535739
0.590059 -0.200162 0.956989 14.584549
0.592059 -0.201627 0.956764 14.633356
0.594059 -0.203096 0.956542 14.682161
0.596060 -0.204567 0.956323 14.730963
0.598060 -0.206041 0.956106 14.779764
0.600060 -0.207518 0.955893 14.828562
0.602060 -0.208998 0.955682 14.877359
0.604060 -0.210481 0.955475 14.926153
0.606061 -0.211966 0.955270 14.974945
0.608061 -0.213454 0.955069 15.023735
0.610061 -0.214945 0.954870 15.072524
0.612061 -0.216438 0.954675 15.121310
0.614061 -0.217933 0.954483 15.170094
0.616062 -0.219432 0.954293 15.218877
0.618062 -0.220932 0.954107 15.267658
0.620062 -0.222435 0.953924 15.316437
0.622062 -0.223941 0.953744 15.365214
0.624062 -0.225448 0.953567 15.413989
0.626063 -0.226958 0.953393 15.462763
0.628063 -0.228471 0.953222 15.511535
0.630063 -0.229985 0.953055 15.560305
0.632063 -0.231502 0.952890 15.609074
0.634063 -0.233021 0.952729 15.657841
0.636064 -0.234541 0.952571 15.706607
0.638064 -0.236064 0.952416 15.755371
0.640064 -0.237589 0.952264 15.804133
0.642064 -0.239116 0.952116 15.852895
0.644064 -0.240644 0.951970 15.901654
0.646065 -0.242175 0.951828 15.950413
0.648065 -0.243707 0.951689 15.999170
0.650065 -0.245242 0.951554 16.047925
0.652065 -0.246777 0.951421 16.096680
0.654065 -0.248315 0.951292 16.145433
0.656066 -0.249854 0.951166 16.194185
0.658066 -0.251395 0.951044 16.242935
