t psi theta phi
1.865933 -1.051780 1.045350 36.414551
1.870935 -1.054290 1.045443 36.512429
1.875938 -1.056797 1.045534 36.610310
1.880940 -1.059302 1.045622 36.708193
1.885943 -1.061804 1.045708 36.806078
1.890945 -1.064303 1.045792 36.903966
1.895948 -1.066800 1.045873 37.001855
1.900950 -1.069294 1.045953 37.099747
1.905953 -1.071785 1.046030 37.197641
1.910955 -1.074275 1.046105 37.295536
1.915958 -1.076762 1.046177 37.393434
1.920960 -1.079246 1.046247 37.491333
1.925963 -1.081729 1.046314 37.589235
1.930965 -1.084209 1.046380 37.687138
1.935968 -1.086688 1.046443 37.785042
1.940970 -1.089164 1.046503 37.882948
1.945973 -1.091639 1.046561 37.980856
1.950975 -1.094112 1.046616 38.078765
1.955978 -1.096583 1.046670 38.176676
1.960980 -1.099053 1.046720 38.274588
1.965983 -1.101521 1.046768 38.372501
1.970985 -1.103987 1.046814 38.470415
1.975988 -1.106452 1.046857 38.568331
1.980990 -1.108916 1.046897 38.666248
1.985993 -1.111379 1.046935 38.764165
1.990995 -1.113840 1.046971 38.862084
1.995998 -1.116300 1.047004 38.960004
2.001001 -1.118760 1.047034 39.057924
2.006003 -1.121218 1.047062 39.155845
2.011006 -1.123676 1.047087 39.253767
2.016008 -1.126133 1.047110 39.351689
2.021011 -1.128589 1.047130 39.449612
2.026013 -1.131044 1.047147 39.547536
2.031016 -1.133499 1.047162 39.645460
2.036018 -1.135954 1.047174 39.743384
2.041021 -1.138408 1.047184 39.841309
2.046023 -1.140862 1.047191 39.939233
2.051026 -1.143316 1.047196 40.037158
2.056028 -1.145770 1.047197 40.135083
2.061031 -1.148224 1.047197 40.233008
2.066033 -1.150678 1.047193 40.330933
2.071036 -1.153131 1.047187 40.428858
2.076038 -1.155586 1.047179 40.526783
2.081041 -1.158040 1.047168 40.624707
2.086043 -1.160495 1.047154 40.722631
2.091046 -1.162950 1.047138 40.820555
2.096048 -1.165406 1.047119 40.918478
2.101051 -1.167863 1.047097 41.016401
2.106053 -1.170320 1.047073 41.114323
2.111056 -1.172778 1.047046 41.212244
2.116058 -1.175237 1.047017 41.310165
2.121061 -1.177697 1.046985 41.408085
2.126063 -1.180158 1.046951 41.506004
2.131066 -1.182620 1.046914 41.603922
2.136068 -1.185083 1.046874 41.701839
2.141071 -1.187548 1.046832 41.799755
2.146073 -1.190014 1.046788 41.897670
2.151076 -1.192481 1.046741 41.995584
2.156078 -1.194950 1.046691 42.093496
2.161081 -1.197421 1.046639 42.191407
2.166083 -1.199893 1.046585 42.289317
2.171086 -1.202367 1.046528 42.387226
2.176088 -1.204842 1.046468 42.485132
2.181091 -1.207320 1.046407 42.583038
2.186093 -1.209800 1.046342 42.680941
2.191096 -1.212281 1.046276 42.778843
2.196098 -1.214765 1.046207 42.876743
2.201101 -1.217251 1.046135 42.974642
2.206103 -1.219739 1.046062 43.072538
2.211106 -1.222230 1.045986 43.170433
2.216108 -1.224723 1.045907 43.268325
2.221111 -1.227218 1.045827 43.366216
2.226113 -1.229717 1.045744 43.464104
2.231116 -1.232217 1.045659 43.561990
2.236118 -1.234721 1.045571 43.659874
2.241121 -1.237227 1.045482 43.757756
2.246123 -1.239736 1.045390 43.855635
2.251126 -1.242248 1.045296 43.953512
2.256128 -1.244763 1.045200 44.051387
2.261131 -1.247281 1.045101 44.149259
2.266133 -1.249802 1.045001 44.247128
2.271136 -1.252326 1.044899 44.344995
2.276138 -1.254853 1.044794 44.442859
2.281141 -1.257384 1.044688 44.540721
2.286143 -1.259918 1.044579 44.638580
2.291146 -1.262455 1.044469 44.736436
2.296148 -1.264996 1.044357 44.834289
2.301151 -1.267541 1.044242 44.932139
2.306153 -1.270089 1.044126 45.029986
2.311156 -1.272640 1.044008 45.127830
2.316158 -1.275195 1.043888 45.225672
2.321161 -1.277754 1.043767 45.323510
2.326163 -1.280317 1.043643 45.421345
2.331166 -1.282884 1.043518 45.519177
2.336168 -1.285455 1.043391 45.617005
2.341171 -1.288029 1.043263 45.714831
2.346173 -1.290608 1.043132 45.812653
2.351176 -1.293190 1.043001 45.910472
2.356178 -1.295777 1.042867 46.008287
2.361181 -1.298368 1.042732 46.106099
2.366183 -1.300963 1.042596 46.203908
2.371186 -1.303562 1.042458 46.301713
2.376188 -1.306166 1.042318 46.399514
2.381191 -1.308773 1.042177 46.497312
2.386193 -1.311386 1.042035 46.595107
2.391196 -1.314002 1.041892 46.692898
2.396198 -1.316623 1.041747 46.790685
2.401201 -1.319249 1.041600 46.888469
2.406203 -1.321878 1.041453 46.986248
2.411206 -1.324513 1.041304 47.084025
2.416208 -1.327152 1.041154 47.181797
2.421211 -1.329796 1.041003 47.279566
2.426213 -1.332444 1.040851 47.377331
2.431216 -1.335097 1.040698 47.475092
2.436218 -1.337755 1.040544 47.572849
2.441221 -1.340417 1.040389 47.670602
2.446223 -1.343084 1.040232 47.768352
2.451226 -1.345756 1.040075 47.866097
2.456228 -1.348433 1.039917 47.963839
2.461231 -1.351114 1.039759 48.061577
2.466233 -1.353800 1.039599 48.159310
2.471236 -1.356492 1.039438 48.257040
2.476238 -1.359188 1.039277 48.354766
2.481241 -1.361889 1.039115 48.452488
2.486243 -1.364594 1.038953 48.550206
2.491246 -1.367305 1.038790 48.647919
2.496248 -1.370021 1.038626 48.745629
2.501251 -1.372742 1.038462 48.843335
2.506253 -1.375467 1.038297 48.941037
2.511256 -1.378198 1.038132 49.038734
2.516258 -1.380933 1.037966 49.136428
2.521261 -1.383674 1.037800 49.234117
2.526263 -1.386420 1.037633 49.331803
2.531266 -1.389170 1.037467 49.429484
2.536268 -1.391926 1.037300 49.527161
2.541271 -1.394687 1.037132 49.624834
2.546273 -1.397452 1.036965 49.722503
2.551276 -1.400223 1.036797 49.820168
2.556278 -1.402999 1.036630 49.917829
2.561281 -1.405779 1.036462 50.015486
2.566283 -1.408565 1.036294 50.113139
2.571286 -1.411356 1.036126 50.210787
2.576288 -1.414151 1.035958 50.308432
2.581291 -1.416952 1.035791 50.406072
2.586293 -1.419758 1.035623 50.503709
2.591296 -1.422569 1.035456 50.601341
2.596298 -1.425384 1.035288 50.698970
2.601301 -1.428205 1.035121 50.796594
2.606303 -1.431031 1.034955 50.894214
2.611306 -1.433861 1.034788 50.991831
2.616308 -1.436697 1.034622 51.089443
2.621311 -1.439537 1.034456 51.187051
2.626313 -1.442382 1.034291 51.284656
2.631316 -1.445233 1.034126 51.382256
2.636318 -1.448088 1.033962 51.479853
2.641321 -1.450948 1.033798 51.577445
2.646323 -1.453812 1.033635 51.675034
2.651326 -1.456682 1.033473 51.772619
2.656328 -1.459556 1.033311 51.870199
2.661331 -1.462435 1.033150 51.967777
2.666333 -1.465319 1.032989 52.065350
2.671336 -1.468207 1.032830 52.162919
2.676338 -1.471100 1.032671 52.260485
2.681341 -1.473998 1.032513 52.358047
2.686343 -1.476901 1.032356 52.455605
2.691346 -1.479808 1.032199 52.553159
2.696348 -1.482719 1.032044 52.650710
2.701351 -1.485635 1.031890 52.748257
2.706353 -1.488556 1.031736 52.845801
2.711356 -1.491481 1.031584 52.943341
2.716358 -1.494410 1.031433 53.040877
2.721361 -1.497344 1.031283 53.138410
2.726363 -1.500283 1.031134 53.235939
2.731366 -1.503225 1.030986 53.333465
2.736368 -1.506172 1.030840 53.430987
2.741371 -1.509123 1.030695 53.528506
2.746373 -1.512078 1.030551 53.626022
2.751376 -1.515038 1.030408 53.723534
2.756378 -1.518001 1.030267 53.821043
2.761381 -1.520969 1.030127 53.918548
2.766383 -1.523941 1.029989 54.016051
2.771386 -1.526916 1.029852 54.113550
2.776388 -1.529896 1.029717 54.211046
2.781391 -1.532879 1.029583 54.308539
2.786393 -1.535867 1.029450 54.406028
2.791396 -1.538858 1.029319 54.503515
2.796398 -1.541853 1.029190 54.600999
2.801401 -1.544851 1.029063 54.698479
2.806403 -1.547853 1.028937 54.795957
2.811406 -1.550859 1.028813 54.893432
2.816408 -1.553869 1.028690 54.990904
2.821411 -1.556882 1.028569 55.088373
2.826413 -1.559898 1.028450 55.185840
2.831416 -1.562918 1.028333 55.283303
2.836418 -1.565941 1.028218 55.380764
2.841421 -1.568967 1.028104 55.478223
2.846423 -1.571997 1.027993 55.575679
2.851426 -1.575029 1.027883 55.673132
2.856428 -1.578065 1.027775 55.770583
2.861431 -1.581104 1.027669 55.868031
2.866433 -1.584146 1.027565 55.965477
2.871436 -1.587191 1.027464 56.062920
2.876438 -1.590239 1.027364 56.160362
2.881441 -1.593290 1.027266 56.257801
2.886443 -1.596343 1.027170 56.355237
2.891446 -1.599399 1.027077 56.452672
2.896448 -1.602458 1.026985 56.550105
2.901451 -1.605519 1.026896 56.647535
2.906453 -1.608583 1.026809 56.744963
2.911456 -1.611649 1.026723 56.842390
2.916458 -1.614718 1.026641 56.939814
2.921461 -1.617789 1.026560 57.037237
2.926463 -1.620862 1.026481 57.134658
2.931466 -1.623938 1.026405 57.232077
2.936468 -1.627015 1.026331 57.329494
2.941471 -1.630095 1.026260 57.426910
2.946473 -1.633177 1.026190 57.524324
2.951476 -1.636260 1.026123 57.621737
2.956478 -1.639346 1.026059 57.719148
2.961481 -1.642433 1.025996 57.816557
2.966483 -1.645522 1.025936 57.913965
2.971486 -1.648613 1.025878 58.011372
2.976488 -1.651705 1.025823 58.108778
2.981491 -1.654799 1.025770 58.206182
2.986493 -1.657895 1.025720 58.303586
2.991496 -1.660991 1.025672 58.400988
2.996498 -1.664089 1.025626 58.498389
3.001501 -1.667189 1.025583 58.595789
3.006503 -1.670289 1.025542 58.693188
3.011506 -1.673391 1.025504 58.790586
3.016508 -1.676494 1.025468 58.887983
3.021511 -1.679597 1.025434 58.985380
3.026513 -1.682702 1.025404 59.082776
3.031516 -1.685807 1.025375 59.180171
3.036518 -1.688913 1.025349 59.277565
3.041521 -1.692020 1.025326 59.374959
3.046523 -1.695128 1.025305 59.472353
3.051526 -1.698236 1.025286 59.569746
3.056528 -1.701345 1.025270 59.667139
3.061531 -1.704454 1.025257 59.764531
3.066533 -1.707563 1.025246 59.861923
3.071536 -1.710672 1.025238 59.959315
3.076538 -1.713782 1.025232 60.056706
3.081541 -1.716892 1.025229 60.154098
3.086543 -1.720002 1.025228 60.251490
3.091546 -1.723112 1.025230 60.348881
3.096548 -1.726222 1.025234 60.446273
3.101551 -1.729332 1.025241 60.543664
3.106553 -1.732441 1.025250 60.641056
3.111556 -1.735551 1.025262 60.738448
3.116558 -1.738659 1.025276 60.835841
3.121561 -1.741768 1.025293 60.933234
3.126563 -1.744876 1.025312 61.030627
3.131566 -1.747983 1.025334 61.128020
3.136568 -1.751090 1.025358 61.225415
3.141571 -1.754196 1.025385 61.322809
3.146573 -1.757301 1.025415 61.420205
3.151576 -1.760405 1.025446 61.517601
3.156578 -1.763508 1.025481 61.614998
3.161581 -1.766611 1.025518 61.712395
3.166583 -1.769712 1.025557 61.809794
3.171586 -1.772812 1.025598 61.907193
3.176588 -1.775911 1.025643 62.004594
3.181591 -1.779008 1.025689 62.101995
3.186593 -1.782105 1.025738 62.199398
3.191596 -1.785199 1.025789 62.296801
3.196598 -1.788293 1.025843 62.394206
3.201601 -1.791384 1.025899 62.491612
3.206603 -1.794475 1.025958 62.589019
3.211606 -1.797563 1.026019 62.686428
3.216608 -1.800650 1.026082 62.783838
3.221611 -1.803735 1.026148 62.881250
3.226613 -1.806817 1.026216 62.978663
3.231616 -1.809898 1.026286 63.076078
3.236618 -1.812977 1.026358 63.173494
3.241621 -1.816054 1.026433 63.270912
3.246623 -1.819129 1.026510 63.368332
3.251626 -1.822201 1.026589 63.465753
3.256628 -1.825272 1.026671 63.563177
3.261631 -1.828339 1.026754 63.660602
3.266633 -1.831405 1.026840 63.758029
3.271636 -1.834468 1.026928 63.855458
3.276638 -1.837528 1.027018 63.952889
3.281641 -1.840586 1.027111 64.050322
3.286643 -1.843641 1.027205 64.147758
3.291646 -1.846693 1.027302 64.245195
3.296648 -1.849743 1.027400 64.342635
3.301651 -1.852790 1.027501 64.440077
3.306653 -1.855833 1.027603 64.537522
3.311656 -1.858874 1.027708 64.634969
3.316658 -1.861912 1.027814 64.732418
3.321661 -1.864947 1.027923 64.829869
