t psi theta phi
0.960480 -3.915925 1.032520 15.834958
0.965483 -3.936136 1.032574 15.917654
0.970485 -3.956349 1.032630 16.000349
0.975488 -3.976563 1.032688 16.083041
0.980490 -3.996779 1.032749 16.165732
0.985493 -4.016997 1.032812 16.248420
0.990495 -4.037217 1.032877 16.331106
0.995498 -4.057439 1.032944 16.413790
1.000500 -4.077663 1.033014 16.496471
1.005503 -4.097888 1.033086 16.579150
1.010505 -4.118116 1.033160 16.661826
1.015508 -4.138346 1.033236 16.744500
1.020510 -4.158578 1.033315 16.827171
1.025513 -4.178813 1.033395 16.909839
1.030515 -4.199050 1.033478 16.992504
1.035518 -4.219289 1.033562 17.075167
1.040520 -4.239531 1.033649 17.157826
1.045523 -4.259775 1.033737 17.240482
1.050525 -4.280022 1.033828 17.323135
1.055528 -4.300271 1.033920 17.405785
1.060530 -4.320524 1.034015 17.488432
1.065533 -4.340779 1.034111 17.571075
1.070535 -4.361036 1.034209 17.653715
1.075538 -4.381297 1.034309 17.736351
1.080540 -4.401561 1.034411 17.818984
1.085543 -4.421827 1.034514 17.901613
1.090545 -4.442097 1.034619 17.984238
1.095548 -4.462369 1.034726 18.066860
1.100550 -4.482645 1.034835 18.149478
1.105553 -4.502924 1.034945 18.232092
1.110555 -4.523206 1.035056 18.314702
1.115558 -4.543492 1.035169 18.397308
1.120560 -4.563781 1.035284 18.479910
1.125563 -4.584073 1.035400 18.562508
1.130565 -4.604368 1.035518 18.645102
1.135568 -4.624667 1.035636 18.727692
1.140570 -4.644970 1.035757 18.810277
1.145573 -4.665276 1.035878 18.892859
1.150575 -4.685586 1.036001 18.975435
1.155578 -4.705899 1.036125 19.058008
1.160580 -4.726216 1.036250 19.140576
1.165583 -4.746536 1.036376 19.223139
1.170585 -4.766861 1.036504 19.305698
1.175588 -4.787189 1.036632 19.388253
1.180590 -4.807521 1.036761 19.470802
1.185593 -4.827856 1.036892 19.553348
1.190595 -4.848196 1.037023 19.635888
1.195598 -4.868539 1.037155 19.718424
1.200600 -4.888887 1.037288 19.800955
1.205603 -4.909238 1.037422 19.883481
1.210605 -4.929593 1.037557 19.966003
1.215608 -4.949952 1.037692 20.048519
1.220610 -4.970316 1.037828 20.131031
1.225613 -4.990683 1.037964 20.213538
1.230615 -5.011054 1.038101 20.296040
1.235618 -5.031430 1.038239 20.378537
1.240620 -5.051809 1.038377 20.461029
1.245623 -5.072193 1.038515 20.543516
1.250625 -5.092581 1.038654 20.625998
1.255628 -5.112973 1.038793 20.708476
1.260630 -5.133369 1.038932 20.790948
1.265633 -5.153769 1.039072 20.873415
1.270635 -5.174174 1.039212 20.955877
1.275638 -5.194582 1.039352 21.038334
1.280640 -5.214995 1.039492 21.120786
1.285643 -5.235412 1.039632 21.203232
1.290645 -5.255833 1.039772 21.285674
1.295648 -5.276259 1.039912 21.368111
1.300650 -5.296688 1.040052 21.450542
1.305653 -5.317122 1.040192 21.532969
1.310655 -5.337560 1.040331 21.615390
1.315658 -5.358003 1.040471 21.697807
1.320660 -5.378449 1.040610 21.780218
1.325663 -5.398900 1.040749 21.862624
1.330665 -5.419355 1.040887 21.945025
1.335668 -5.439814 1.041025 22.027422
1.340670 -5.460277 1.041162 22.109813
1.345673 -5.480744 1.041299 22.192199
1.350675 -5.501216 1.041436 22.274580
1.355678 -5.521691 1.041571 22.356956
1.360680 -5.542171 1.041707 22.439328
1.365683 -5.562655 1.041841 22.521694
1.370685 -5.583143 1.041975 22.604055
1.375688 -5.603635 1.042107 22.686412
1.380690 -5.624131 1.042239 22.768763
1.385693 -5.644631 1.042370 22.851110
1.390695 -5.665135 1.042501 22.933452
1.395698 -5.685643 1.042630 23.015790
1.400700 -5.706155 1.042758 23.098122
1.405703 -5.726671 1.042885 23.180450
1.410705 -5.747191 1.043011 23.262773
1.415708 -5.767714 1.043136 23.345092
1.420710 -5.788242 1.043259 23.427406
1.425713 -5.808773 1.043382 23.509715
1.430715 -5.829308 1.043503 23.592020
1.435718 -5.849846 1.043623 23.674321
1.440720 -5.870389 1.043741 23.756617
1.445723 -5.890934 1.043858 23.838908
1.450725 -5.911484 1.043974 23.921196
1.455728 -5.932037 1.044088 24.003479
1.460730 -5.952594 1.044200 24.085758
1.465733 -5.973154 1.044311 24.168033
1.470735 -5.993717 1.044421 24.250304
1.475738 -6.014284 1.044529 24.332571
1.480740 -6.034854 1.044635 24.414833
1.485743 -6.055427 1.044739 24.497092
1.490745 -6.076004 1.044842 24.579347
1.495748 -6.096583 1.044942 24.661598
1.500750 -6.117166 1.045041 24.743846
1.505753 -6.137752 1.045139 24.826090
1.510755 -6.158341 1.045234 24.908330
1.515758 -6.178933 1.045327 24.990567
1.520760 -6.199527 1.045418 25.072800
1.525763 -6.220125 1.045508 25.155030
1.530765 -6.240725 1.045595 25.237257
1.535768 -6.261328 1.045681 25.319481
1.540770 -6.281934 1.045764 25.401701
1.545773 -6.302542 1.045845 25.483918
1.550775 -6.323152 1.045924 25.566132
1.555778 -6.343765 1.046001 25.648344
1.560780 -6.364381 1.046075 25.730552
1.565783 -6.384999 1.046148 25.812758
1.570785 -6.405619 1.046218 25.894961
1.575788 -6.426241 1.046286 25.977162
1.580790 -6.446865 1.046352 26.059360
1.585793 -6.467491 1.046415 26.141555
1.590795 -6.488119 1.046476 26.223748
1.595798 -6.508749 1.046535 26.305939
1.600800 -6.529381 1.046591 26.388128
1.605803 -6.550015 1.046645 26.470315
1.610805 -6.570650 1.046696 26.552500
1.615808 -6.591287 1.046745 26.634683
1.620810 -6.611925 1.046792 26.716864
1.625813 -6.632565 1.046836 26.799043
1.630815 -6.653206 1.046878 26.881221
1.635818 -6.673849 1.046917 26.963398
1.640820 -6.694492 1.046953 27.045572
1.645823 -6.715137 1.046988 27.127746
1.650825 -6.735783 1.047019 27.209918
1.655828 -6.756429 1.047048 27.292090
1.660830 -6.777077 1.047075 27.374260
1.665833 -6.797725 1.047099 27.456429
1.670835 -6.818374 1.047120 27.538597
1.675838 -6.839024 1.047139 27.620765
1.680840 -6.859674 1.047155 27.702932
1.685843 -6.880325 1.047169 27.785098
1.690845 -6.900976 1.047180 27.867264
1.695848 -6.921628 1.047188 27.949430
1.700850 -6.942279 1.047194 28.031595
1.705853 -6.962931 1.047197 28.113760
1.710855 -6.983583 1.047197 28.195925
1.715858 -7.004235 1.047195 28.278090
1.720860 -7.024886 1.047191 28.360255
1.725863 -7.045538 1.047184 28.442421
1.730865 -7.066189 1.047174 28.524586
1.735868 -7.086840 1.047161 28.606752
1.740870 -7.107490 1.047146 28.688919
1.745873 -7.128140 1.047129 28.771086
1.750875 -7.148790 1.047108 28.853254
1.755878 -7.169438 1.047086 28.935423
1.760880 -7.190086 1.047060 29.017593
1.765883 -7.210733 1.047032 29.099764
1.770885 -7.231380 1.047002 29.181935
1.775888 -7.252025 1.046969 29.264108
1.780890 -7.272669 1.046933 29.346283
1.785893 -7.293312 1.046895 29.428458
1.790895 -7.313953 1.046855 29.510636
1.795898 -7.334594 1.046812 29.592814
1.800900 -7.355233 1.046766 29.674995
1.805903 -7.375870 1.046718 29.757177
1.810905 -7.396506 1.046668 29.839361
1.815908 -7.417141 1.046615 29.921547
1.820910 -7.437773 1.046560 30.003735
1.825913 -7.458404 1.046502 30.085925
1.830915 -7.479033 1.046442 30.168117
1.835918 -7.499660 1.046380 30.250311
1.840920 -7.520285 1.046315 30.332508
