t psi theta phi
1.575788 -1.293705 0.351759 23.252470
1.580790 -1.301151 0.354679 23.324932
1.585793 -1.308566 0.357639 23.397384
1.590795 -1.315950 0.360639 23.469826
1.595798 -1.323302 0.363678 23.542259
1.600800 -1.330622 0.366757 23.614682
1.605803 -1.337909 0.369874 23.687096
1.610805 -1.345164 0.373030 23.759500
1.615808 -1.352386 0.376223 23.831895
1.620810 -1.359574 0.379453 23.904281
1.625813 -1.366728 0.382720 23.976658
1.630815 -1.373848 0.386023 24.049026
1.635818 -1.380933 0.389362 24.121385
1.640820 -1.387984 0.392736 24.193735
1.645823 -1.394999 0.396145 24.266077
1.650825 -1.401978 0.399588 24.338410
1.655828 -1.408921 0.403064 24.410736
1.660830 -1.415828 0.406574 24.483053
1.665833 -1.422699 0.410116 24.555362
1.670835 -1.429532 0.413690 24.627664
1.675838 -1.436328 0.417296 24.699959
1.680840 -1.443086 0.420933 24.772246
1.685843 -1.449806 0.424600 24.844526
1.690845 -1.456488 0.428298 24.916800
1.695848 -1.463131 0.432025 24.989067
1.700850 -1.469735 0.435781 25.061328
1.705853 -1.476300 0.439566 25.133584
1.710855 -1.482825 0.443378 25.205833
1.715858 -1.489311 0.447218 25.278077
1.720860 -1.495756 0.451085 25.350317
1.725863 -1.502160 0.454978 25.422551
1.730865 -1.508524 0.458897 25.494781
1.735868 -1.514846 0.462842 25.567007
1.740870 -1.521127 0.466811 25.639229
1.745873 -1.527367 0.470805 25.711447
1.750875 -1.533564 0.474822 25.783663
1.755878 -1.539719 0.478863 25.855875
1.760880 -1.545831 0.482926 25.928086
1.765883 -1.551900 0.487012 26.000294
1.770885 -1.557925 0.491119 26.072501
1.775888 -1.563907 0.495247 26.144706
1.780890 -1.569845 0.499397 26.216911
1.785893 -1.575739 0.503566 26.289115
1.790895 -1.581588 0.507755 26.361320
1.795898 -1.587393 0.511962 26.433524
1.800900 -1.593152 0.516189 26.505730
1.805903 -1.598866 0.520433 26.577937
1.810905 -1.604533 0.524696 26.650146
1.815908 -1.610155 0.528975 26.722357
1.820910 -1.615730 0.533270 26.794571
1.825913 -1.621259 0.537582 26.866788
1.830915 -1.626740 0.541909 26.939008
1.835918 -1.632174 0.546251 27.011233
1.840920 -1.637560 0.550607 27.083463
1.845923 -1.642898 0.554977 27.155697
1.850925 -1.648188 0.559361 27.227938
1.855928 -1.653428 0.563757 27.300185
1.860930 -1.658620 0.568166 27.372439
1.865933 -1.663762 0.572587 27.444700
1.870935 -1.668854 0.577019 27.516969
1.875938 -1.673897 0.581462 27.589247
1.880940 -1.678888 0.585916 27.661533
1.885943 -1.683829 0.590379 27.733830
1.890945 -1.688718 0.594851 27.806136
1.895948 -1.693556 0.599333 27.878454
1.900950 -1.698341 0.603822 27.950783
1.905953 -1.703075 0.608320 28.023125
1.910955 -1.707755 0.612824 28.095479
1.915958 -1.712382 0.617336 28.167847
1.920960 -1.716956 0.621853 28.240228
1.925963 -1.721476 0.626377 28.312625
1.930965 -1.725941 0.630906 28.385037
1.935968 -1.730351 0.635439 28.457465
1.940970 -1.734706 0.639977 28.529909
1.945973 -1.739006 0.644518 28.602372
1.950975 -1.743249 0.649063 28.674852
1.955978 -1.747436 0.653611 28.747352
1.960980 -1.751565 0.658160 28.819871
1.965983 -1.755638 0.662712 28.892410
1.970985 -1.759652 0.667264 28.964971
1.975988 -1.763608 0.671817 29.037553
1.980990 -1.767505 0.676371 29.110158
1.985993 -1.771343 0.680924 29.182787
1.990995 -1.775121 0.685476 29.255440
1.995998 -1.778838 0.690027 29.328118
2.001001 -1.782495 0.694576 29.400821
2.006003 -1.786090 0.699123 29.473551
2.011006 -1.789623 0.703667 29.546309
2.016008 -1.793094 0.708207 29.619095
2.021011 -1.796503 0.712743 29.691910
2.026013 -1.799847 0.717275 29.764755
2.031016 -1.803128 0.721802 29.837630
2.036018 -1.806344 0.726324 29.910538
2.041021 -1.809495 0.730840 29.983477
2.046023 -1.812580 0.735348 30.056451
2.051026 -1.815598 0.739850 30.129458
2.056028 -1.818550 0.744345 30.202501
2.061031 -1.821435 0.748831 30.275579
2.066033 -1.824251 0.753308 30.348695
2.071036 -1.826999 0.757776 30.421849
2.076038 -1.829677 0.762235 30.495041
2.081041 -1.832286 0.766683 30.568274
2.086043 -1.834824 0.771120 30.641546
2.091046 -1.837290 0.775546 30.714861
2.096048 -1.839685 0.779960 30.788218
2.101051 -1.842008 0.784361 30.861619
2.106053 -1.844257 0.788750 30.935065
2.111056 -1.846433 0.793124 31.008555
2.116058 -1.848534 0.797485 31.082093
2.121061 -1.850560 0.801831 31.155678
2.126063 -1.852510 0.806161 31.229311
2.131066 -1.854383 0.810475 31.302994
2.136068 -1.856180 0.814773 31.376727
2.141071 -1.857899 0.819054 31.450512
2.146073 -1.859539 0.823316 31.524349
2.151076 -1.861100 0.827561 31.598240
2.156078 -1.862581 0.831787 31.672185
2.161081 -1.863981 0.835993 31.746185
2.166083 -1.865300 0.840179 31.820243
2.171086 -1.866537 0.844344 31.894357
2.176088 -1.867692 0.848488 31.968530
